model,display_name,feature,raw_value,absolute_value,normalized_importance
lasso,Lasso regression,Ionic Radius_metal,0.0,0.0,0.0
ridge,Ridge regression,PEOE_VSA2(m),3.3862218345241017,3.3862218345241017,0.14094434951422458
ridge,Ridge regression,Chi0(m),-3.1309909177129387,3.1309909177129387,0.13032090034172691
ridge,Ridge regression,NumValenceElectrons(m),3.007620702059387,3.007620702059387,0.12518587504083337
ridge,Ridge regression,NOCount(m),-2.9057109878076894,2.9057109878076894,0.12094409789618725
ridge,Ridge regression,TPSA(m),1.4599329198896511,1.4599329198896511,0.06076663189349736
ridge,Ridge regression,Molar Mass_medium (g/mol),-1.304780899143741,1.304780899143741,0.05430875591594107
ridge,Ridge regression,PEOE_VSA14(m),1.2398233641075158,1.2398233641075158,0.0516050353774977
ridge,Ridge regression,Melting Point_medium (K),-1.0903300981505009,1.0903300981505009,0.04538269314573731
ridge,Ridge regression,VSA_EState2(m),-0.9195845877180457,0.9195845877180457,0.03827577101352007
ridge,Ridge regression,NumHAcceptors(m),0.9004489554646263,0.9004489554646263,0.037479290637366366
ridge,Ridge regression,SMR_VSA3(m),0.859308305926076,0.859308305926076,0.03576689777855103
ridge,Ridge regression,EState_VSA10(m),-0.8165303825512158,0.8165303825512158,0.03398635684583143
ridge,Ridge regression,NumRotatableBonds(m),0.763294354107944,0.763294354107944,0.0317705193235646
ridge,Ridge regression,Density_medium (kg/m3),-0.6307407561342698,0.6307407561342698,0.026253255081839226
ridge,Ridge regression,Concentration (M),-0.46217116673836134,0.46217116673836134,0.019236901078373492
ridge,Ridge regression,Kappa2(m),0.4126076867219204,0.4126076867219204,0.01717392564677118
ridge,Ridge regression,SMR_VSA1(m),0.2781463517223447,0.2781463517223447,0.011577255870707062
ridge,Ridge regression,NumHeteroatoms(m),0.17965332019367558,0.17965332019367558,0.007477690945881852
ridge,Ridge regression,Temperature (K),-0.14094107351227528,0.14094107351227528,0.005866375239652881
ridge,Ridge regression,SlogP_VSA2(m),-0.13640141244660436,0.13640141244660436,0.005677421412295034
ridge,Ridge regression,Atomic Number_metal,0.0,0.0,0.0
ridge,Ridge regression,Outer shell electrons_metal,0.0,0.0,0.0
ridge,Ridge regression,Melting Point_metal  (K),0.0,0.0,0.0
ridge,Ridge regression,Boiling Point_metal  (K),0.0,0.0,0.0
ridge,Ridge regression,First IE_metal  (kJ/mol),0.0,0.0,0.0
ridge,Ridge regression,Density_metal  (g/cm3),0.0,0.0,0.0
ridge,Ridge regression,Covalent Radius_metal,0.0,0.0,0.0
ridge,Ridge regression,Atomic Radius_metal,0.0,0.0,0.0
ridge,Ridge regression,Electron Affinity_metal  (kJ/mol),0.0,0.0,0.0
ridge,Ridge regression,Third IE_metal  (kJ/mol),0.0,0.0,0.0
ridge,Ridge regression,Second IE_metal  (kJ/mol),0.0,0.0,0.0
ridge,Ridge regression,Standard Entropy_metal (J/mol.K),0.0,0.0,0.0
ridge,Ridge regression,Pauling EN_metal,0.0,0.0,0.0
ridge,Ridge regression,Ionic Radius_metal,0.0,0.0,0.0
